conceptid,Value,Valuetype,Provider 
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:1,1,sortorder,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:2,2,sortorder,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:3,3,sortorder,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:4,4,sortorder,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:5,5,sortorder,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:6,6,sortorder,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:7,7,sortorder,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:8,8,sortorder,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:9,9,sortorder,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:10,10,sortorder,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:11,11,sortorder,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:12,12,sortorder,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:13,13,sortorder,Eamena
