???Source,Target,Type,Id,Label,Weight
3,14,Directed,251,P4,1
3,37,Directed,253,P42,1
3,55,Directed,254,P42,1
3,90,Directed,518,P42,1
3,92,Directed,411,P42,1
4,20,Directed,255,P2,1
12,52,Directed,261,0,1
14,58,Directed,262,P78,1
14,59,Directed,263,P78,1
15,67,Directed,264,0,1
16,15,Directed,265,P2,1
17,2,Directed,266,0,1
17,25,Directed,267,P90,1
19,11,Directed,271,P4,1
19,12,Directed,272,P2,1
19,457,Directed,460,P2,1
19,458,Directed,461,P2,1
19,459,Directed,462,0,1
19,480,Directed,489,P3,1
19,512,Directed,514,0,1
20,10,Directed,273,0,1
22,1,Directed,274,0,1
27,481,Directed,490,P2,1
28,71,Directed,369,P2,1
30,3,Directed,294,0,1
32,17,Directed,297,P91,1
32,57,Directed,298,0,1
33,19,Directed,299,P35,1
37,5,Directed,302,0,1
39,7,Directed,305,P3,1
40,21,Directed,306,0,1
41,36,Directed,307,0,1
44,60,Directed,310,P89,1
45,69,Directed,311,0,1
47,8,Directed,315,P78,1
47,38,Directed,316,P78,1
48,22,Directed,318,P2,1
55,13,Directed,327,0,1
60,65,Directed,329,P87,1
62,16,Directed,332,P1,1
62,30,Directed,336,0,1
62,32,Directed,337,P43,1
62,33,Directed,338,0,1
62,41,Directed,341,P2,1
62,45,Directed,343,P104,1
62,64,Directed,346,P53,1
62,70,Directed,347,BM.PX.is_related_to,1
62,84,Directed,456,0,1
62,94,Directed,413,P3,1
62,95,Directed,414,P2,1
62,501,Directed,502,0,1
62,502,Directed,508,0,1
64,4,Directed,349,P87,1
64,27,Directed,350,P87,1
64,28,Directed,367,P45,1
64,39,Directed,351,P87,1
64,44,Directed,352,P87,1
69,40,Directed,360,P2,1
69,47,Directed,361,P4,1
70,48,Directed,363,P1,1
71,72,Directed,370,0,1
84,85,Directed,457,0,1
84,97,Directed,476,P42,1
84,471,Directed,477,P42,1
84,472,Directed,480,P3,1
84,475,Directed,517,P42,1
84,514,Directed,519,P4,1
84,517,Directed,522,P4,1
85,466,Directed,475,0,1
90,91,Directed,408,0,1
92,93,Directed,412,0,1
94,464,Directed,467,P2,1
95,96,Directed,415,0,1
97,98,Directed,417,0,1
457,460,Directed,466,0,1
458,461,Directed,465,0,1
459,462,Directed,463,P2,1
462,463,Directed,464,0,1
464,465,Directed,468,0,1
471,468,Directed,479,0,1
475,476,Directed,485,0,1
481,482,Directed,491,0,1
501,503,Directed,503,P2,1
501,504,Directed,505,P4,1
502,507,Directed,509,P2,1
502,509,Directed,511,P4,1
503,505,Directed,507,0,1
504,506,Directed,506,P78,1
507,508,Directed,510,0,1
509,510,Directed,512,P78,1
512,511,Directed,516,P3,1
512,513,Directed,515,P3,1
514,515,Directed,521,P78,1
514,516,Directed,520,P78,1
,,,,,
19,600,Directed,950,P78,1
,,,,,
19,601,Directed,951,P78,1
,,,,,
19,602,Directed,952,P2,1
,,,,,
19,604,Directed,953,P2,1
,,,,,
604,606,Directed,954,P2,1
,,,,,
19,608,Directed,955,P2,1
,,,,,
19,610,Directed,956,P2,1
,,,,,
19,612,Directed,957,P2,1
602,603,Directed,958,0,1
,,,,,
604,605,Directed,959,0,1
606,607,Directed,960,0,1
,,,,,
608,609,Directed,961,0,1
610,611,Directed,962,0,1
,,,,,
612,613,Directed,963,0,1
62,614,Directed,964,P2,1
,,,,,
62,616,Directed,965,P2,1
,,,,,
62,618,Directed,966,P2,1
614,615,Directed,967,0,1
,,,,,
616,617,Directed,968,0,1
,,,,,
618,619,Directed,969,0,1
,,,,,
654,620,Directed,970,P2,1
,,,,,
620,621,Directed,971,0,1
,,,,,
654,622,Directed,972,P2,1
,,,,,
622,623,Directed,973,0,1
,,,,,
654,624,Directed,974,P2,1
624,625,Directed,975,0,1
654,626,Directed,976,P2,1
626,627,Directed,977,0,1
654,628,Directed,978,P2,1
628,629,Directed,979,0,1
654,630,Directed,980,P2,1
630,631,Directed,981,0,1
654,632,Directed,982,P2,1
632,633,Directed,983,0,1
62,634,Directed,984,P2,1
,,,,,
634,635,Directed,985,0,1
634,636,Directed,986,P2,1
,,,,,
636,637,Directed,987,0,1
62,638,Directed,988,P2,1
,,,,,
638,639,Directed,989,0,1
,,,,,
64,640,Directed,990,P2,1
,,,,,
640,641,Directed,991,0,1
32,642,Directed,992,P2,1
,,,,,
642,643,Directed,993,0,1
,,,,,
64,644,Directed,994,P87,1
,,,,,
644,645,Directed,995,0,1
,,,,,
64,646,Directed,996,P2,1
,,,,,
646,647,Directed,997,0,1
,,,,,
62,648,Directed,998,P2,1
,,,,,
648,649,Directed,999,0,1
652,650,Directed,1000,P2,1
650,651,Directed,1001,0,1
,,,,,
19,652,Directed,1002,P2,1
,,,,,
652,653,Directed,1003,0,1
3,654,Directed,1004,P42,1
3,655,Directed,1005,P42,1
655,656,Directed,1006,P42,1
62,657,Directed,1007,P42,1
657,658,Directed,1008,P42,1
,,,,,
659,660,Directed,1009,0,1
19,661,Directed,1010,P48,1
19,662,Directed,1011,P48,1
,,,,,
19,659,Directed,953,P2,1
